(~a2+~a1)|(~a3@(~a2+~a1))|a1|a2|a3|a4|a5|a6|~a1|~a2|~a3|
######################################################
1        |0              |0 |0 |0 |0 |0 |0 |1  |1  |1  |
1        |0              |0 |0 |0 |0 |0 |1 |1  |1  |1  |
1        |0              |0 |0 |0 |0 |1 |0 |1  |1  |1  |
1        |0              |0 |0 |0 |0 |1 |1 |1  |1  |1  |
1        |0              |0 |0 |0 |1 |0 |0 |1  |1  |1  |
1        |0              |0 |0 |0 |1 |0 |1 |1  |1  |1  |
1        |0              |0 |0 |0 |1 |1 |0 |1  |1  |1  |
1        |0              |0 |0 |0 |1 |1 |1 |1  |1  |1  |
1        |1              |0 |0 |1 |0 |0 |0 |1  |1  |0  |
1        |1              |0 |0 |1 |0 |0 |1 |1  |1  |0  |
1        |1              |0 |0 |1 |0 |1 |0 |1  |1  |0  |
1        |1              |0 |0 |1 |0 |1 |1 |1  |1  |0  |
1        |1              |0 |0 |1 |1 |0 |0 |1  |1  |0  |
1        |1              |0 |0 |1 |1 |0 |1 |1  |1  |0  |
1        |1              |0 |0 |1 |1 |1 |0 |1  |1  |0  |
1        |1              |0 |0 |1 |1 |1 |1 |1  |1  |0  |
1        |0              |0 |1 |0 |0 |0 |0 |1  |0  |1  |
1        |0              |0 |1 |0 |0 |0 |1 |1  |0  |1  |
1        |0              |0 |1 |0 |0 |1 |0 |1  |0  |1  |
1        |0              |0 |1 |0 |0 |1 |1 |1  |0  |1  |
1        |0              |0 |1 |0 |1 |0 |0 |1  |0  |1  |
1        |0              |0 |1 |0 |1 |0 |1 |1  |0  |1  |
1        |0              |0 |1 |0 |1 |1 |0 |1  |0  |1  |
1        |0              |0 |1 |0 |1 |1 |1 |1  |0  |1  |
1        |1              |0 |1 |1 |0 |0 |0 |1  |0  |0  |
1        |1              |0 |1 |1 |0 |0 |1 |1  |0  |0  |
1        |1              |0 |1 |1 |0 |1 |0 |1  |0  |0  |
1        |1              |0 |1 |1 |0 |1 |1 |1  |0  |0  |
1        |1              |0 |1 |1 |1 |0 |0 |1  |0  |0  |
1        |1              |0 |1 |1 |1 |0 |1 |1  |0  |0  |
1        |1              |0 |1 |1 |1 |1 |0 |1  |0  |0  |
1        |1              |0 |1 |1 |1 |1 |1 |1  |0  |0  |
1        |0              |1 |0 |0 |0 |0 |0 |0  |1  |1  |
1        |0              |1 |0 |0 |0 |0 |1 |0  |1  |1  |
1        |0              |1 |0 |0 |0 |1 |0 |0  |1  |1  |
1        |0              |1 |0 |0 |0 |1 |1 |0  |1  |1  |
1        |0              |1 |0 |0 |1 |0 |0 |0  |1  |1  |
1        |0              |1 |0 |0 |1 |0 |1 |0  |1  |1  |
1        |0              |1 |0 |0 |1 |1 |0 |0  |1  |1  |
1        |0              |1 |0 |0 |1 |1 |1 |0  |1  |1  |
1        |1              |1 |0 |1 |0 |0 |0 |0  |1  |0  |
1        |1              |1 |0 |1 |0 |0 |1 |0  |1  |0  |
1        |1              |1 |0 |1 |0 |1 |0 |0  |1  |0  |
1        |1              |1 |0 |1 |0 |1 |1 |0  |1  |0  |
1        |1              |1 |0 |1 |1 |0 |0 |0  |1  |0  |
1        |1              |1 |0 |1 |1 |0 |1 |0  |1  |0  |
1        |1              |1 |0 |1 |1 |1 |0 |0  |1  |0  |
1        |1              |1 |0 |1 |1 |1 |1 |0  |1  |0  |
0        |1              |1 |1 |0 |0 |0 |0 |0  |0  |1  |
0        |1              |1 |1 |0 |0 |0 |1 |0  |0  |1  |
0        |1              |1 |1 |0 |0 |1 |0 |0  |0  |1  |
0        |1              |1 |1 |0 |0 |1 |1 |0  |0  |1  |
0        |1              |1 |1 |0 |1 |0 |0 |0  |0  |1  |
0        |1              |1 |1 |0 |1 |0 |1 |0  |0  |1  |
0        |1              |1 |1 |0 |1 |1 |0 |0  |0  |1  |
0        |1              |1 |1 |0 |1 |1 |1 |0  |0  |1  |
0        |0              |1 |1 |1 |0 |0 |0 |0  |0  |0  |
0        |0              |1 |1 |1 |0 |0 |1 |0  |0  |0  |
0        |0              |1 |1 |1 |0 |1 |0 |0  |0  |0  |
0        |0              |1 |1 |1 |0 |1 |1 |0  |0  |0  |
0        |0              |1 |1 |1 |1 |0 |0 |0  |0  |0  |
0        |0              |1 |1 |1 |1 |0 |1 |0  |0  |0  |
0        |0              |1 |1 |1 |1 |1 |0 |0  |0  |0  |
0        |0              |1 |1 |1 |1 |1 |1 |0  |0  |0  |
