(a4+(o2*o1))|(o2*o1)|a1|a2|a3|a4|a5|a6|o1|o2|
##########################################
0           |0      |0 |0 |0 |0 |0 |0 |0 |0 |
0           |0      |0 |0 |0 |0 |0 |1 |0 |0 |
0           |0      |0 |0 |0 |0 |1 |0 |0 |0 |
0           |0      |0 |0 |0 |0 |1 |1 |0 |0 |
1           |0      |0 |0 |0 |1 |0 |0 |0 |1 |
1           |0      |0 |0 |0 |1 |0 |1 |0 |1 |
1           |0      |0 |0 |0 |1 |1 |0 |0 |1 |
1           |0      |0 |0 |0 |1 |1 |1 |0 |1 |
0           |0      |0 |0 |1 |0 |0 |0 |1 |0 |
0           |0      |0 |0 |1 |0 |0 |1 |1 |0 |
0           |0      |0 |0 |1 |0 |1 |0 |1 |0 |
0           |0      |0 |0 |1 |0 |1 |1 |1 |0 |
1           |1      |0 |0 |1 |1 |0 |0 |1 |1 |
1           |1      |0 |0 |1 |1 |0 |1 |1 |1 |
1           |1      |0 |0 |1 |1 |1 |0 |1 |1 |
1           |1      |0 |0 |1 |1 |1 |1 |1 |1 |
0           |0      |0 |1 |0 |0 |0 |0 |0 |0 |
0           |0      |0 |1 |0 |0 |0 |1 |0 |0 |
0           |0      |0 |1 |0 |0 |1 |0 |0 |1 |
0           |0      |0 |1 |0 |0 |1 |1 |0 |1 |
1           |0      |0 |1 |0 |1 |0 |0 |0 |1 |
1           |0      |0 |1 |0 |1 |0 |1 |0 |1 |
1           |0      |0 |1 |0 |1 |1 |0 |0 |1 |
1           |0      |0 |1 |0 |1 |1 |1 |0 |1 |
1           |1      |0 |1 |1 |0 |0 |0 |1 |1 |
1           |1      |0 |1 |1 |0 |0 |1 |1 |1 |
1           |1      |0 |1 |1 |0 |1 |0 |1 |1 |
1           |1      |0 |1 |1 |0 |1 |1 |1 |1 |
1           |1      |0 |1 |1 |1 |0 |0 |1 |1 |
1           |1      |0 |1 |1 |1 |0 |1 |1 |1 |
1           |1      |0 |1 |1 |1 |1 |0 |1 |1 |
1           |1      |0 |1 |1 |1 |1 |1 |1 |1 |
0           |0      |1 |0 |0 |0 |0 |0 |0 |1 |
0           |0      |1 |0 |0 |0 |0 |1 |0 |1 |
0           |0      |1 |0 |0 |0 |1 |0 |0 |1 |
0           |0      |1 |0 |0 |0 |1 |1 |0 |1 |
1           |0      |1 |0 |0 |1 |0 |0 |0 |0 |
1           |0      |1 |0 |0 |1 |0 |1 |0 |0 |
1           |0      |1 |0 |0 |1 |1 |0 |0 |0 |
1           |0      |1 |0 |0 |1 |1 |1 |0 |0 |
1           |1      |1 |0 |1 |0 |0 |0 |1 |1 |
1           |1      |1 |0 |1 |0 |0 |1 |1 |1 |
1           |1      |1 |0 |1 |0 |1 |0 |1 |1 |
1           |1      |1 |0 |1 |0 |1 |1 |1 |1 |
1           |0      |1 |0 |1 |1 |0 |0 |1 |0 |
1           |0      |1 |0 |1 |1 |0 |1 |1 |0 |
1           |0      |1 |0 |1 |1 |1 |0 |1 |0 |
1           |0      |1 |0 |1 |1 |1 |1 |1 |0 |
1           |1      |1 |1 |0 |0 |0 |0 |1 |1 |
1           |1      |1 |1 |0 |0 |0 |1 |1 |1 |
1           |1      |1 |1 |0 |0 |1 |0 |1 |1 |
1           |1      |1 |1 |0 |0 |1 |1 |1 |1 |
1           |1      |1 |1 |0 |1 |0 |0 |1 |1 |
1           |1      |1 |1 |0 |1 |0 |1 |1 |1 |
1           |1      |1 |1 |0 |1 |1 |0 |1 |1 |
1           |1      |1 |1 |0 |1 |1 |1 |1 |1 |
0           |0      |1 |1 |1 |0 |0 |0 |0 |1 |
0           |0      |1 |1 |1 |0 |0 |1 |0 |1 |
0           |0      |1 |1 |1 |0 |1 |0 |0 |1 |
0           |0      |1 |1 |1 |0 |1 |1 |0 |1 |
1           |0      |1 |1 |1 |1 |0 |0 |0 |0 |
1           |0      |1 |1 |1 |1 |0 |1 |0 |0 |
1           |0      |1 |1 |1 |1 |1 |0 |0 |1 |
1           |0      |1 |1 |1 |1 |1 |1 |0 |1 |
