((((a2*(~a1@a4))*a5)+((~a2*(~a1@a4))*~a5))*(~a6+a6))|(((a2*(~a1@a4))*a5)+((~a2*(~a1@a4))*~a5))|((a2*(~a1@a4))*a5)|((~a2*(~a1@a4))*~a5)|(a2*(~a1@a4))|(~a1@a4)|(~a2*(~a1@a4))|(~a6+a6)|a1|a2|a3|a4|a5|a6|o1|o2|o3|o4|~a1|~a2|~a5|~a6|
#######################################################################################################################################################################################################################################################
1                                                   |1                                        |0                 |1                   |0            |1       |1             |1       |0 |0 |0 |0 |0 |0 |0 |0 |0 |1 |1  |1  |1  |1  |
1                                                   |1                                        |0                 |1                   |0            |1       |1             |1       |0 |0 |0 |0 |0 |1 |0 |0 |0 |1 |1  |1  |1  |0  |
0                                                   |0                                        |0                 |0                   |0            |1       |1             |1       |0 |0 |0 |0 |1 |0 |0 |0 |0 |1 |1  |1  |0  |1  |
0                                                   |0                                        |0                 |0                   |0            |1       |1             |1       |0 |0 |0 |0 |1 |1 |0 |0 |0 |1 |1  |1  |0  |0  |
0                                                   |0                                        |0                 |0                   |0            |0       |0             |1       |0 |0 |0 |1 |0 |0 |0 |1 |1 |0 |1  |1  |1  |1  |
0                                                   |0                                        |0                 |0                   |0            |0       |0             |1       |0 |0 |0 |1 |0 |1 |0 |1 |1 |0 |1  |1  |1  |0  |
0                                                   |0                                        |0                 |0                   |0            |0       |0             |1       |0 |0 |0 |1 |1 |0 |0 |1 |1 |0 |1  |1  |0  |1  |
0                                                   |0                                        |0                 |0                   |0            |0       |0             |1       |0 |0 |0 |1 |1 |1 |0 |1 |1 |0 |1  |1  |0  |0  |
1                                                   |1                                        |0                 |1                   |0            |1       |1             |1       |0 |0 |1 |0 |0 |0 |1 |0 |0 |0 |1  |1  |1  |1  |
1                                                   |1                                        |0                 |1                   |0            |1       |1             |1       |0 |0 |1 |0 |0 |1 |1 |0 |0 |0 |1  |1  |1  |0  |
0                                                   |0                                        |0                 |0                   |0            |1       |1             |1       |0 |0 |1 |0 |1 |0 |1 |0 |0 |0 |1  |1  |0  |1  |
0                                                   |0                                        |0                 |0                   |0            |1       |1             |1       |0 |0 |1 |0 |1 |1 |1 |0 |0 |0 |1  |1  |0  |0  |
0                                                   |0                                        |0                 |0                   |0            |0       |0             |1       |0 |0 |1 |1 |0 |0 |1 |1 |1 |0 |1  |1  |1  |1  |
0                                                   |0                                        |0                 |0                   |0            |0       |0             |1       |0 |0 |1 |1 |0 |1 |1 |1 |1 |0 |1  |1  |1  |0  |
